Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,4582.01,4625.3,4579.29,4623.05,4623.05,122952916
2022-02-24,4592.07,4610.88,4488.48,4529.32,4529.32,184403059
2022-02-25,4564.63,4611.86,4561.9,4573.42,4573.42,149722583
2022-02-28,4563.74,4581.65,4530.68,4581.65,4581.65,135406979
2022-03-01,4597.86,4623.43,4583.92,4619.69,4619.69,123139220
2022-03-02,4594.02,4594.02,4558.44,4578.6,4578.6,113298324
2022-03-03,4595.02,4599.4,4544.43,4551.63,4551.63,138285878
2022-03-04,4513.36,4539.39,4481.49,4496.43,4496.43,127266806
2022-03-07,4462.52,4462.52,4338.3,4352.78,4352.78,162197706
2022-03-08,4361.64,4383.65,4252.54,4265.39,4265.39,167863278
2022-03-09,4280.98,4304.48,4068.19,4226.35,4226.35,194232901
2022-03-10,4326.2,4335.67,4288.51,4292.84,4292.84,145266383
2022-03-11,4231.2,4316.04,4176.45,4306.52,4306.52,152399921
2022-03-14,4248.15,4280.36,4174.76,4174.76,4174.76,130187236
2022-03-15,4125.49,4163.42,3983.81,3983.81,3983.81,202524700
2022-03-16,4053.1,4168.59,3942.86,4156.08,4156.08,196021983
2022-03-17,4237.67,4302.74,4217.8,4237.7,4237.7,179407345
2022-03-18,4218.47,4283.37,4194.94,4265.9,4265.9,149458304
2022-03-21,4280.14,4287.82,4223.02,4258.75,4258.75,127036360
2022-03-22,4252.57,4283.33,4236.69,4255.3,4255.3,126382469
2022-03-23,4269.61,4287.58,4241.96,4276.52,4276.52,117089078
2022-03-24,4249.53,4273.96,4216.85,4251.31,4251.31,108918272
2022-03-25,4249.07,4254.84,4173.93,4174.57,4174.57,108808046
2022-03-28,4128.84,4174.12,4091.3,4148.47,4148.47,118449021
2022-03-29,4155.42,4177.21,4124.72,4134.14,4134.14,100266972
2022-03-30,4162.17,4254.1,4160.74,4254.1,4254.1,138346025
2022-03-31,4234.72,4247.36,4214.54,4222.6,4222.6,134029184
2022-04-01,4198.82,4290.67,4190.08,4276.16,4276.16,133803054
2022-04-06,4258.83,4277.52,4236.73,4263.84,4263.84,159062195
2022-04-07,4240.02,4278.11,4205.74,4209.1,4209.1,134880353
2022-04-08,4213.21,4237.81,4175.53,4230.77,4230.77,142843794
2022-04-11,4203.79,4203.79,4089.09,4100.07,4100.07,148197071
2022-04-12,4102.97,4179.97,4075.8,4179.97,4179.97,144285683
2022-04-13,4154.41,4194.04,4139.74,4139.74,4139.74,125097490
2022-04-14,4172.64,4217.06,4155.55,4191.57,4191.57,124791316
2022-04-15,4162.37,4211.32,4152.97,4188.75,4188.75,124762263
2022-04-18,4152.93,4171.74,4119.99,4166.38,4166.38,117504609
2022-04-19,4161.93,4186.94,4115.42,4134.9,4134.9,110217472
2022-04-20,4130.54,4136.17,4060.5,4070.79,4070.79,117331658
2022-04-21,4048.73,4086.44,3978.37,3995.83,3995.83,132783828
2022-04-22,3967.2,4037.08,3953.72,4013.25,4013.25,122101811
2022-04-25,3933.45,3958.21,3814.91,3814.91,3814.91,168364503
2022-04-26,3822.49,3871.85,3773.9,3784.12,3784.12,157577610
2022-04-27,3758.08,3895.73,3757.09,3895.54,3895.54,172734047
2022-04-28,3883.42,3943.43,3873.58,3921.11,3921.11,153056586
2022-04-29,3939.62,4017.43,3898.57,4016.24,4016.24,179458378
2022-05-05,3995.35,4039.7,3988.93,4010.21,4010.21,154170716
2022-05-06,3928.85,3947.24,3902.05,3908.82,3908.82,123005550
2022-05-09,3883.95,3914.11,3854.94,3877.44,3877.44,92936694
2022-05-10,3820.63,3932.68,3808.57,3919.87,3919.87,136416919
2022-05-11,3917.93,4033.3,3916.52,3976.42,3976.42,165632256
2022-05-12,3949.95,3985.93,3935.59,3958.74,3958.74,113376067
2022-05-13,3983.82,4003.85,3957.14,3988.6,3988.6,109968356
2022-05-16,4015.0,4018.03,3947.75,3956.54,3956.54,112425295
2022-05-17,3961.76,4005.89,3955.1,4005.89,4005.89,109661455
2022-05-18,4015.01,4017.34,3964.75,3991.91,3991.91,108074232
2022-05-19,3938.3,3999.6,3933.75,3999.6,3999.6,116293420
2022-05-20,4020.82,4077.6,4020.82,4077.6,4077.6,147069174
2022-05-23,4080.97,4080.97,4029.08,4053.98,4053.98,130477811
2022-05-24,4052.87,4055.78,3959.15,3959.15,3959.15,145554337
2022-05-25,3959.77,3983.62,3946.81,3983.18,3983.18,107734016
2022-05-26,3987.68,4015.75,3938.24,3993.04,3993.04,126263690
2022-05-27,4022.71,4051.14,3983.38,4001.3,4001.3,112769336
2022-05-30,4020.86,4040.82,4003.38,4029.02,4029.02,111152241
2022-05-31,4031.76,4096.2,4020.38,4091.52,4091.52,135415514
2022-06-01,4086.62,4094.9,4058.85,4083.18,4083.18,114850880
2022-06-02,4064.0,4091.15,4057.91,4089.57,4089.57,113893637
2022-06-06,4090.53,4166.62,4063.91,4166.09,4166.09,167871012
2022-06-07,4165.69,4198.09,4155.17,4179.13,4179.13,142992881
2022-06-08,4187.15,4224.81,4158.03,4219.81,4219.81,157374057
2022-06-09,4211.72,4227.45,4160.88,4175.67,4175.67,168449155
2022-06-10,4145.65,4241.35,4140.22,4238.99,4238.99,184796214
2022-06-13,4194.46,4218.23,4156.71,4189.35,4189.35,168475622
2022-06-14,4143.22,4224.09,4102.93,4222.31,4222.31,171385905
2022-06-15,4228.29,4348.42,4228.29,4278.22,4278.22,257046589
2022-06-16,4282.08,4302.92,4241.08,4250.06,4250.06,184074417
2022-06-17,4219.23,4318.77,4218.68,4309.04,4309.04,158649098
2022-06-20,4322.83,4368.36,4297.89,4330.43,4330.43,165666383
2022-06-21,4327.92,4357.34,4287.14,4325.57,4325.57,164667615
2022-06-22,4331.9,4333.18,4269.25,4270.62,4270.62,158565855
2022-06-23,4277.96,4343.88,4260.9,4343.88,4343.88,170882360
2022-06-24,4354.55,4400.69,4346.12,4394.77,4394.77,168972198
2022-06-27,4414.33,4472.69,4414.33,4444.26,4444.26,177385677
2022-06-28,4442.58,4497.89,4407.35,4490.52,4490.52,174756490
2022-06-29,4472.73,4503.13,4414.0,4421.36,4421.36,187276687
2022-06-30,4418.07,4515.0,4418.07,4485.01,4485.01,156666289
2022-07-01,4489.52,4500.99,4449.29,4466.72,4466.72,144779599
2022-07-04,4447.22,4496.03,4427.82,4496.03,4496.03,146345651
2022-07-05,4505.46,4530.32,4439.45,4489.54,4489.54,154962414
2022-07-06,4475.48,4484.36,4393.42,4423.97,4423.97,149800236
2022-07-07,4425.28,4457.34,4391.19,4443.47,4443.47,132660905
2022-07-08,4468.06,4479.49,4426.89,4428.78,4428.78,123195740
2022-07-11,4406.15,4406.15,4330.58,4354.62,4354.62,134448579
2022-07-12,4352.65,4370.34,4296.62,4313.62,4313.62,130187838
2022-07-13,4313.36,4341.47,4284.94,4321.46,4321.46,131113179
2022-07-14,4308.82,4352.1,4292.76,4322.07,4322.07,145250926
2022-07-15,4299.47,4344.86,4248.53,4248.53,4248.53,150214453
2022-07-18,4262.15,4300.78,4217.51,4292.59,4292.59,122601192
2022-07-19,4288.44,4288.44,4238.82,4269.34,4269.34,103805730
2022-07-20,4291.28,4303.37,4269.97,4283.8,4283.8,94490144
2022-07-21,4270.36,4283.15,4236.05,4236.06,4236.06,117156344
2022-07-22,4251.79,4275.47,4207.31,4238.23,4238.23,103840624
2022-07-25,4233.93,4234.84,4201.92,4212.64,4212.64,83636664
2022-07-26,4220.09,4259.99,4214.53,4245.98,4245.98,85823274
2022-07-27,4236.15,4242.1,4217.28,4225.04,4225.04,78904940
2022-07-28,4242.27,4267.92,4223.03,4225.67,4225.67,107531930
2022-07-29,4226.42,4243.51,4160.87,4170.1,4170.1,114179286
2022-08-01,4160.65,4196.57,4129.45,4188.68,4188.68,107749029
2022-08-02,4144.38,4144.38,4071.43,4107.02,4107.02,142224425
2022-08-03,4114.83,4150.98,4058.18,4066.98,4066.98,116666124
2022-08-04,4089.44,4108.16,4064.66,4101.54,4101.54,89532644
2022-08-05,4109.63,4159.49,4097.86,4156.91,4156.91,102571004
2022-08-08,4142.11,4155.73,4135.08,4148.07,4148.07,90208138
2022-08-09,4143.67,4161.81,4131.43,4156.29,4156.29,84136959
2022-08-10,4149.21,4160.79,4092.55,4109.74,4109.74,85565839
2022-08-11,4130.74,4193.81,4116.06,4193.54,4193.54,121385051
2022-08-12,4185.42,4202.47,4175.05,4191.15,4191.15,106808295
2022-08-15,4180.0,4219.92,4174.3,4185.68,4185.68,105898495
2022-08-16,4190.53,4208.8,4170.52,4177.84,4177.84,93906139
2022-08-17,4182.57,4222.79,4155.17,4216.96,4216.96,112864659
2022-08-18,4205.79,4211.91,4173.54,4180.1,4180.1,101052650
2022-08-19,4174.55,4185.66,4151.07,4151.07,4151.07,117402978
2022-08-22,4135.16,4183.65,4134.2,4181.4,4181.4,112442720
2022-08-23,4175.53,4187.39,4147.41,4161.08,4161.08,103153512
2022-08-24,4168.58,4174.16,4079.09,4082.42,4082.42,119069679
2022-08-25,4093.29,4119.62,4058.75,4116.24,4116.24,111320745
2022-08-26,4127.81,4139.79,4102.68,4107.55,4107.55,99000493
2022-08-29,4063.88,4092.95,4059.6,4089.52,4089.52,94354432
2022-08-30,4088.53,4093.14,4048.52,4075.79,4075.79,93301662
2022-08-31,4057.14,4112.85,4046.62,4078.84,4078.84,132449765
2022-09-01,4066.19,4090.89,4041.13,4043.74,4043.74,97387071
2022-09-02,4054.84,4056.18,4004.91,4023.61,4023.61,86789278
2022-09-05,4010.41,4017.0,3982.74,4015.43,4015.43,93767109
2022-09-06,4024.47,4054.0,4009.58,4052.28,4052.28,113506265
2022-09-07,4032.72,4067.54,4028.37,4054.98,4054.98,107678059
2022-09-08,4059.17,4067.76,4036.02,4037.68,4037.68,100886049
2022-09-09,4050.59,4099.01,4042.25,4093.79,4093.79,118427114
2022-09-13,4112.01,4128.11,4097.14,4111.11,4111.11,111789737
2022-09-14,4058.04,4089.06,4047.92,4065.36,4065.36,90793681
2022-09-15,4078.65,4088.81,3998.86,4027.12,4027.12,123951196
2022-09-16,4013.58,4019.41,3932.68,3932.68,3932.68,137193655
2022-09-19,3928.42,3953.65,3910.31,3928.0,3928.0,97719575
2022-09-20,3945.65,3957.55,3921.69,3932.84,3932.84,84824134
2022-09-21,3921.32,3924.39,3884.23,3903.73,3903.73,86458391
2022-09-22,3875.18,3900.27,3860.23,3869.34,3869.34,80946919
2022-09-23,3865.1,3888.4,3829.69,3856.02,3856.02,94342462
2022-09-26,3829.6,3893.32,3827.95,3836.68,3836.68,104526031
2022-09-27,3844.07,3893.03,3827.93,3892.3,3892.3,88860160
2022-09-28,3879.44,3879.44,3828.05,3828.71,3828.71,86592213
2022-09-29,3864.32,3873.18,3808.65,3827.14,3827.14,85654142
2022-09-30,3833.35,3848.6,3801.28,3804.89,3804.89,78559966
2022-10-10,3806.56,3807.46,3715.71,3720.94,3720.94,102647595
2022-10-11,3732.02,3739.81,3706.06,3727.69,3727.69,83944625
